Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
IAC,IAC Inc. Common Stock,$34.32,-1.24,-3.487%,2858284092.00,United States,,1528467,Technology,Computer Software: Programming Data Processing
INTA,Intapp Inc. Common Stock,$53.77,-3.26,-5.716%,4269221857.00,United States,2021,471092,Technology,Computer Software: Prepackaged Software
INTC,Intel Corporation Common Stock,$19.88,-1.65,-7.664%,86080400000.00,United States,,129064855,Technology,Semiconductors
INTU,Intuit Inc. Common Stock,$577.47,-17.97,-3.018%,161438668140.00,United States,1993,2289112,Technology,Computer Software: Prepackaged Software
IPGP,IPG Photonics Corporation Common Stock,$52.88,-4.59,-7.987%,2249967906.00,United States,2006,325997,Technology,Semiconductors
JKHY,Jack Henry & Associates Inc. Common Stock,$170.14,-0.57,-0.334%,12402809744.00,United States,1985,761135,Technology,EDP Services
JOYY,JOYY Inc. American Depositary Shares,$38.41,-0.68,-1.74%,2337926821.00,China,2012,801632,Technology,EDP Services
KC,Kingsoft Cloud Holdings Limited American Depositary Shares,$12.65,-0.33,-2.542%,3209123510.00,China,2020,2357336,Technology,Computer Software: Prepackaged Software
KLAC,KLA Corporation Common Stock,$656.76,-46.55,-6.619%,87274699303.00,United States,1980,2676106,Technology,Electronic Components
LNW,Light & Wonder Inc. Common Stock,$78.09,-5.73,-6.836%,6595974695.00,United States,,1574392,Technology,EDP Services
LOGI,Logitech International S.A. Ordinary Shares,$70.37,-3.83,-5.162%,10499174515.00,United States,1997,1554129,Technology,Computer peripheral equipment
LRCX,Lam Research Corporation Common Stock,$66.43,-4.68,-6.581%,85273666660.00,United States,1984,20011817,Technology,Industrial Machinery/Components
LSCC,Lattice Semiconductor Corporation Common Stock,$42.18,-4.26,-9.173%,5813694919.00,United States,,7675713,Technology,Semiconductors
MANH,Manhattan Associates Inc. Common Stock,$157.64,-8.62,-5.185%,9635595400.00,United States,1998,1045334,Technology,Computer Software: Prepackaged Software
MARA,MARA Holdings Inc. Common Stock,$11.74,-0.57,-4.63%,4059889549.00,United States,,33703574,Technology,EDP Services
MBLY,Mobileye Global Inc. Class A Common Stock,$13.20,-1.94,-12.814%,10714789496.00,Israel,2022,7364776,Technology,Computer Software: Prepackaged Software
MCHP,Microchip Technology Incorporated Common Stock,$38.81,-6.09,-13.563%,20872754187.00,United States,1993,24354350,Technology,Semiconductors
MCHPP,Microchip Technology Incorporated Depositary Shares Each Representing a 1/20th Interest in a Share of 7.50% Series A Mandatory Convertible Preferred Stock,$40.76,-6.57,-13.881%,21921501176.00,United States,,130904,Technology,Semiconductors
MDB,MongoDB Inc. Class A Common Stock,$161.10,-10.24,-5.976%,13079332509.00,United States,2017,2349969,Technology,Computer Software: Prepackaged Software
META,Meta Platforms Inc. Class A Common Stock,$546.29,-39.48,-6.74%,1384112719877.00,United States,2012,28173491,Technology,Computer Software: Programming Data Processing
MNDY,monday.com Ltd. Ordinary Shares,$243.65,-8.35,-3.313%,12370923560.00,Israel,2021,1242497,Technology,Computer Software: Prepackaged Software
MPWR,Monolithic Power Systems Inc. Common Stock,$484.71,-77.13,-13.728%,23201128860.00,United States,2004,2145625,Technology,Semiconductors
MRCY,Mercury Systems Inc Common Stock,$44.75,0.14,0.314%,2670731776.00,United States,1998,491210,Technology,Electrical Products
MRVL,Marvell Technology Inc. Common Stock,$52.87,-8.09,-13.271%,45790707000.00,United States,2000,34622059,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$381.35,-9.14,-2.341%,2834949125317.00,United States,1986,38024368,Technology,Computer Software: Prepackaged Software
MSTR,MicroStrategy Incorporated Common Stock Class A,$272.34,-24.52,-8.26%,70087204735.00,United States,1998,19237822,Technology,Computer Software: Prepackaged Software
MTCH,Match Group Inc. Common Stock,$28.08,-1.11,-3.803%,7032050027.00,United States,,4820788,Technology,Computer Software: Programming Data Processing
MTSI,MACOM Technology Solutions Holdings Inc. Common Stock,$99.27,-7.32,-6.867%,7379713832.00,United States,2012,1022158,Technology,Semiconductors
MU,Micron Technology Inc. Common Stock,$70.05,-7.82,-10.042%,78285885326.00,United States,,44882314,Technology,Semiconductors
NBIS,Nebius Group N.V. Class A Ordinary Shares,$21.04,-2.42,-10.315%,7605587192.00,Netherlands,2011,8709488,Technology,Computer Software: Programming Data Processing
NCNO,nCino Inc. Common Stock,$23.40,-1.03,-4.216%,2724928502.00,United States,2020,3313263,Technology,Computer Software: Prepackaged Software
NICE,NICE Ltd American Depositary Shares,$149.03,-4.41,-2.874%,9426124102.00,Israel,,438149,Technology,Computer Software: Prepackaged Software
NTAP,NetApp Inc. Common Stock,$82.28,-3.82,-4.437%,16736700112.00,United States,1995,3555561,Technology,Electronic Components
NTES,NetEase Inc. American Depositary Shares,$94.30,0.54,0.576%,60555370020.00,China,,1913575,Technology,Computer Software: Prepackaged Software
NTNX,Nutanix Inc. Class A Common Stock,$62.04,-3.73,-5.671%,16543739639.00,United States,2016,3032164,Technology,Computer Software: Prepackaged Software
NVDA,NVIDIA Corporation Common Stock,$107.57,-6.76,-5.913%,2624708000000.00,United States,1999,437812353,Technology,Semiconductors
NVMI,Nova Ltd. Ordinary Shares,$177.98,-13.75,-7.172%,5211074818.00,Israel,2000,239458,Technology,Electronic Components
NXPI,NXP Semiconductors N.V. Common Stock,$165.59,-20.28,-10.911%,41996955174.00,Netherlands,2010,6325856,Technology,Semiconductors
OKTA,Okta Inc. Class A Common Stock,$101.63,-0.10,-0.098%,17643289557.00,United States,2017,4264385,Technology,Computer Software: Prepackaged Software
OLED,Universal Display Corporation Common Stock,$108.11,-17.06,-13.629%,5131882887.00,United States,,1546869,Technology,Electrical Products
ON,ON Semiconductor Corporation Common Stock,$34.88,-4.32,-11.02%,14699168910.00,United States,,18006285,Technology,Semiconductors
OS,OneStream Inc. Class A Common Stock,$19.50,-0.85,-4.177%,4654552091.00,United States,2024,1056221,Technology,Computer Software: Prepackaged Software
OSIS,OSI Systems Inc. Common Stock (DE),$184.44,-6.72,-3.515%,3098459757.00,United States,1997,277194,Technology,Semiconductors
OTEX,Open Text Corporation Common Shares,$24.69,-0.60,-2.372%,6564584632.00,Canada,1996,1654658,Technology,EDP Services
PANW,Palo Alto Networks Inc. Common Stock,$168.27,-4.75,-2.745%,111411567000.00,United States,,6465581,Technology,Computer peripheral equipment
PCTY,Paylocity Holding Corporation Common Stock,$183.78,-3.96,-2.109%,10270950902.00,United States,2014,354180,Technology,Computer Software: Prepackaged Software
PEGA,Pegasystems Inc. Common Stock,$67.71,-2.98,-4.216%,5816213029.00,United States,1996,741183,Technology,EDP Services
PLTR,Palantir Technologies Inc. Class A Common Stock,$88.59,-3.42,-3.717%,207775132867.00,United States,,124448216,Technology,Computer Software: Prepackaged Software
PLXS,Plexus Corp. Common Stock,$119.18,-5.27,-4.235%,3222646030.00,United States,,263940,Technology,Electrical Products
PONY,Pony AI Inc. American Depositary Shares ,$5.85,-0.69,-10.55%,2047183790.00,China,2024,1784142,Technology,EDP Services
POWI,Power Integrations Inc. Common Stock,$44.61,-3.72,-7.697%,2539781130.00,United States,1997,619036,Technology,Semiconductors
PRGS,Progress Software Corporation Common Stock (DE),$56.84,-0.54,-0.941%,2445597556.00,United States,1991,703587,Technology,Computer Software: Prepackaged Software
PTC,PTC Inc. Common Stock,$143.76,-5.48,-3.672%,17297712398.00,United States,,1019440,Technology,Computer Software: Prepackaged Software
PYCR,Paycor HCM Inc. Common Stock,$22.45,-0.04,-0.178%,4080780233.00,United States,2021,2396703,Technology,Computer Software: Prepackaged Software
QCOM,QUALCOMM Incorporated Common Stock,$134.40,-9.19,-6.40%,148646400000.00,United States,1991,14898763,Technology,Radio And Television Broadcasting And Communications Equipment
QLYS,Qualys Inc. Common Stock,$122.78,-2.95,-2.346%,4478728568.00,United States,2012,398978,Technology,Computer Software: Prepackaged Software
QRVO,Qorvo Inc. Common Stock,$55.12,-6.99,-11.254%,5148033380.00,United States,,2973841,Technology,Semiconductors
RGTI,Rigetti Computing Inc. Common Stock,$9.42,0.03,0.319%,2692500203.00,United States,,41070571,Technology,EDP Services
RMBS,Rambus Inc. Common Stock,$46.24,-6.05,-11.57%,4941037763.00,United States,1997,1506658,Technology,Semiconductors
RUM,Rumble Inc. Class A Common Stock,$7.54,-0.615,-7.541%,3274612123.00,United States,2021,2059058,Technology,Computer Software: Programming Data Processing
SAIC,Science Applications International Corporation Common Stock,$112.96,0.04,0.035%,5392394451.00,United States,,809698,Technology,EDP Services
SAIL,SailPoint Inc. Common Stock,$17.12,-0.70,-3.928%,9528565592.00,United States,2025,1326257,Technology,Computer Software: Prepackaged Software
SANM,Sanmina Corporation Common Stock,$74.64,-3.15,-4.049%,4054841810.00,United States,1993,424937,Technology,Electrical Products
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$84.63,-6.77,-7.407%,109350278960.00,Canada,,16133730,Technology,Computer Software: Prepackaged Software
SITM,SiTime Corporation Common Stock,$130.05,-19.85,-13.242%,3068897922.00,United States,2019,355371,Technology,Semiconductors
SLAB,Silicon Laboratories Inc. Common Stock,$88.19,-11.22,-11.287%,2862442799.00,United States,2000,865142,Technology,Semiconductors
SMCI,Super Micro Computer Inc. Common Stock,$33.68,-3.03,-8.254%,19988451935.00,United States,2020,38130449,Technology,Computer Manufacturing
SMTC,Semtech Corporation Common Stock,$27.00,-2.98,-9.94%,2335595418.00,United States,,3226893,Technology,Semiconductors
SNDK,Sandisk Corporation Common Stock,$31.075,-5.505,-15.049%,4501625525.00,United States,,4153445,Technology,Electronic Components
SNPS,Synopsys Inc. Common Stock,$406.89,-21.81,-5.087%,62913362724.00,United States,1992,1537660,Technology,Computer Software: Prepackaged Software
SOUN,SoundHound AI Inc Class A Common Stock,$8.20,-0.63,-7.135%,3271485710.00,United States,,25024306,Technology,Computer Software: Prepackaged Software
SPSC,SPS Commerce Inc. Common Stock,$130.08,-5.76,-4.24%,4913620717.00,United States,2010,398167,Technology,Computer Software: Prepackaged Software
SRAD,Sportradar Group AG Class A Ordinary Shares,$22.025,-0.425,-1.893%,6595604870.00,Switzerland,2021,1779732,Technology,Computer Software: Programming Data Processing
SSNC,SS&C Technologies Holdings Inc. Common Stock,$74.98,-2.88,-3.699%,18481537375.00,United States,2010,1665822,Technology,Computer Software: Prepackaged Software
STNE,StoneCo Ltd. Class A Common Shares,$10.98,-0.10,-0.903%,3392118367.00,Brazil,2018,8434013,Technology,EDP Services
STRF,MicroStrategy Incorporated 10.00% Series A Perpetual Strife Preferred Stock,$85.99,-2.48,-2.803%,22129686183.00,United States,,188999,Technology,Computer Software: Prepackaged Software
STRK,MicroStrategy Incorporated 8.00% Series A Perpetual Strike Preferred Stock,$81.68,-2.31,-2.75%,21020499680.00,United States,,132896,Technology,Computer Software: Prepackaged Software
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),$69.74,-4.55,-6.125%,14764473588.00,Ireland,2002,5483494,Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,$53.84,-6.43,-10.669%,8654296624.00,United States,,6896329,Technology,Semiconductors
TEAM,Atlassian Corporation Class A Common Stock,$198.03,-11.59,-5.529%,32475386654.00,Australia,2015,3850254,Technology,Computer Software: Prepackaged Software
TEM,Tempus AI Inc. Class A Common Stock,$40.29,-3.50,-7.993%,6938449683.00,United States,2024,8760396,Technology,Computer Software: Programming Data Processing
TENB,Tenable Holdings Inc. Common Stock,$32.87,-1.12,-3.295%,3954341170.00,United States,2018,1159027,Technology,Computer Software: Prepackaged Software
TSEM,Tower Semiconductor Ltd. Ordinary Shares,$33.69,-1.61,-4.561%,3733685962.00,Israel,1994,828898,Technology,Semiconductors
TTAN,ServiceTitan Inc. Class A Common Stock,$97.83,-0.23,-0.235%,8818063871.00,United States,2024,248405,Technology,Computer Software: Prepackaged Software
TTD,The Trade Desk Inc. Class A Common Stock,$49.27,-4.85,-8.962%,24442283203.00,United States,2016,11727374,Technology,Computer Software: Programming Data Processing
TTWO,Take-Two Interactive Software Inc. Common Stock,$204.41,-3.72,-1.787%,36077487263.00,United States,1997,2257360,Technology,Computer Software: Prepackaged Software
TXN,Texas Instruments Incorporated Common Stock,$156.60,-12.90,-7.611%,142558143259.00,United States,,16019477,Technology,Semiconductors
VERX,Vertex Inc. Class A Common Stock,$38.18,-0.34,-0.883%,6039429918.00,United States,2020,791709,Technology,Computer Software: Prepackaged Software
VIAV,Viavi Solutions Inc. Common Stock,$9.84,-0.34,-3.34%,2185832665.00,United States,,2491416,Technology,Semiconductors
VICR,Vicor Corporation Common Stock,$46.30,-2.86,-5.818%,2091948037.00,United States,,191118,Technology,Industrial Machinery/Components
VRNS,Varonis Systems Inc. Common Stock,$41.14,-0.21,-0.508%,4630313418.00,United States,2014,1581197,Technology,Computer Software: Prepackaged Software
VRSK,Verisk Analytics Inc. Common Stock,$285.78,-3.56,-1.23%,40088122434.00,United States,2009,1397408,Technology,EDP Services
VRSN,VeriSign Inc. Common Stock,$242.87,-1.76,-0.719%,22975502000.00,United States,1998,786272,Technology,EDP Services
WAY,Waystar Holding Corp. Common Stock,$36.23,-1.29,-3.438%,6237061127.00,United States,2024,1198581,Technology,EDP Services
WDAY,Workday Inc. Class A Common Stock,$224.74,-6.68,-2.887%,59780840000.00,United States,,2599365,Technology,EDP Services
WDC,Western Digital Corporation Common Stock,$34.87,-1.43,-3.939%,12128619463.00,United States,,15245506,Technology,Electronic Components
WGS,GeneDx Holdings Corp. Class A Common Stock,$92.62,-4.67,-4.80%,2599683538.00,United States,2020,795010,Technology,Retail: Computer Software & Peripheral Equipment
WIX,Wix.com Ltd. Ordinary Shares,$155.68,-9.29,-5.631%,8666421328.00,Israel,2013,793855,Technology,Computer Software: Programming Data Processing
WRD,WeRide Inc. American Depositary Shares,$9.81,-0.96,-8.914%,2791228558.00,China,2024,1071606,Technology,EDP Services
ZI,ZoomInfo Technologies Inc Common Stock,$7.84,-0.72,-8.411%,2683570887.00,United States,2020,7088551,Technology,Computer Software: Prepackaged Software
ZM,Zoom Communications Inc. Class A Common Stock,$69.61,-2.22,-3.091%,21247328507.00,United States,2019,2969486,Technology,Computer Software: Programming Data Processing
ZS,Zscaler Inc. Common Stock,$195.36,-6.76,-3.345%,30227056855.00,United States,2018,3911111,Technology,EDP Services
