date,strategy,benchmark,invested,turnover,transaction_cost,holdings,stop_exits,stop_pending,portfolio_peak,portfolio_value,cash
2020-03-10,0.03883710479348346,0.04950139989280422,0.9999999999999999,0.0,0.0,5,0,0,1.0245084621903642,0.9528869351155845,1.196959198423997e-16
2020-03-11,-0.04618127253919935,-0.047002450789465855,0.9999999999999999,0.0,0.0,5,0,0,1.0245084621903642,0.9088814038659694,1.196959198423997e-16
2020-03-12,-0.10679298587155883,-0.09434674315042646,0.9999999999999999,0.0,0.0,5,0,0,1.0245084621903642,0.8118192449439884,1.196959198423997e-16
2020-03-13,0.05257438888019461,0.09336974349106453,0.9999999999999999,0.0,0.0,5,0,0,1.0245084621903642,0.8545001456280995,1.196959198423997e-16
2020-03-16,-0.11902254184804006,-0.12314095473462161,0.9999999999999999,0.0,0.0,5,0,1,1.0245084621903642,0.7527953662859227,1.196959198423997e-16
2020-03-17,0.06387390099948576,0.06230493229300893,0.0,0.9999999999999999,0.002409867631850375,0,1,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-03-18,0.0,-0.047027996668693506,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-03-19,0.0,0.022996278112125124,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-03-20,0.0,-0.03790742795818758,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-03-23,0.0,-0.00274003128125222,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-03-24,0.0,0.08121510116672437,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-03-25,0.0,-0.00452555055670445,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-03-26,0.0,0.05596340338746186,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-03-27,0.0,-0.037852976708038666,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-03-30,0.0,0.03622450523999721,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-03-31,0.0,-0.009525131487367,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-04-01,0.0,-0.04409293328537367,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-04-02,0.0,0.017217392960644506,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-04-03,0.0,-0.015256480428131214,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-04-06,0.0,0.07326111918952294,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-04-07,0.0,-0.0032831557419424895,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-04-08,0.0,0.025818865507638122,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
2020-04-09,0.0,0.007746999811479638,0.0,0.0,0.0,0,0,0,0.8008793429849413,0.8008793429849413,0.8008793429849413
