date,strategy,benchmark,invested,turnover,transaction_cost,holdings,stock_stop_exits,portfolio_stop_exits,stop_exits,portfolio_value,cash,qqq
2026-03-04,0.02648582276745004,0.012914420369956714,1.0,0.0,0.0,5,0,0,0,1.1725707458034242,3.5561831257524545e-17,0.015243192925296745
2026-03-05,-0.015792253422643898,-0.002564509538098836,1.0,0.0,0.0,5,0,0,0,1.154053211429718,3.5561831257524545e-17,-0.0030126893164142965
2026-03-06,-0.07985053572016887,-0.01588246335331811,1.0,0.0,0.0,5,0,0,0,1.0619014442474737,3.5561831257524545e-17,-0.015043274047067623
2026-03-09,0.0791892868273738,0.013769626866205087,0.823682630207892,0.1767541377313079,0.0006079992337537836,4,1,0,1,1.1459926622983894,0.20205841201750743,0.013355564818674281
2026-03-10,0.019101598654548857,5.066983316392992e-05,0.8269874465657909,0.0,0.0,4,0,0,0,1.1678829541946711,0.20205841201750743,1.645386336734944e-05
2026-03-11,0.011777248185250278,0.0008384331037887272,0.8290013402213492,0.0,0.0,4,0,0,0,1.181637401597545,0.20205841201750743,-0.00013162874113548106
2026-03-12,-0.029223055524703834,-0.01779132272970796,0.8238538103404637,0.0,0.0,4,0,0,0,1.1471063462005933,0.20205841201750743,-0.017163356316543088
2026-03-13,0.02517248039142328,-0.009260495930885515,0.8281789718035725,0.0,0.0,4,0,0,0,1.1759818582072048,0.20205841201750743,-0.0059270669390213415
2026-03-16,0.03488716556136673,0.012160851485793378,0.833971244485166,0.0,0.0,4,0,0,0,1.2170085319916433,0.20205841201750743,0.011217408879606205
2026-03-17,0.04329043246445807,0.004708552447508563,0.840860463828235,0.0,0.0,4,0,0,0,1.2696933576544969,0.20205841201750743,0.0048802425130749505
2026-03-18,-0.013380195056729938,-0.01455146081790859,0.838702268721521,0.0,0.0,4,0,0,0,1.2527046128668453,0.20205841201750743,-0.01393976562629462
2026-03-19,0.016359089039014174,-0.0027866029986791663,0.8412984810014451,0.0,0.0,4,0,0,0,1.2731977191683177,0.20205841201750743,-0.0031601949907548166
2026-03-20,-0.046140146766348034,-0.020057318263938306,0.8336217648111035,0.0,0.0,4,0,0,0,1.214452189543312,0.20205841201750743,-0.01848167009544377
2026-03-23,-0.0035736877973064907,0.013819077487075893,0.8330250484643447,0.0,0.0,4,0,0,0,1.210112116573129,0.20205841201750743,0.011464144589904857
2026-03-24,0.021858509794727476,-0.008423566849958708,0.836596798935307,0.0,0.0,4,0,0,0,1.236563364125961,0.20205841201750743,-0.0068367346938774665
2026-03-25,-0.014385984650727601,0.007717160595885897,0.8342117720324952,0.0,0.0,4,0,0,0,1.218774182549993,0.20205841201750743,0.006575567656426751
2026-03-26,-0.06494854063619337,-0.023791794099635055,0.8226961454289327,0.0,0.0,4,0,0,0,1.1396165780283014,0.20205841201750743,-0.023867850702596227
2026-03-27,0.0021080443375292024,-0.021474134999495575,0.8230691235611437,0.0,0.0,4,0,0,0,1.1420189403025685,0.20205841201750743,-0.01953676432144158
2026-03-30,-0.060542751382207216,-0.007338044601104876,0.811666920768165,0.0,0.0,4,0,0,0,1.0728779715260583,0.20205841201750743,-0.007643357389171435
2026-03-31,0.056600715777868515,0.03827861410440381,0.6433632824694869,0.17883318668088072,0.0006085043124790115,3,1,0,1,1.133603632656741,0.40428467853136557,0.0338539800816795
2026-04-01,0.04857976899573324,0.011593918287701621,0.0,0.6605599418695633,0.002360248214842218,0,0,0,0,1.1886738352639294,1.1886738352639294,0.012353165390346144
2026-04-02,0.0,0.0017503817370581043,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,0.0011466516061677812
2026-04-06,0.0,0.00535486247656447,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,0.0060172997367431424
2026-04-07,0.0,0.000977889958056588,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,0.00015293118096870728
2026-04-08,0.0,0.02802907640845964,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,0.029732071560848672
2026-04-09,0.0,0.008280542646583733,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,0.006764671913412235
2026-04-10,0.0,0.003525918811414508,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,0.0014421737491601139
2026-04-13,0.0,0.012262644583281856,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,0.010342513950938326
2026-04-14,0.0,0.019640489411975715,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,0.018157080613550702
2026-04-15,0.0,0.01594562901771135,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,0.013999363665287756
2026-04-16,0.0,0.0036092574872939043,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,0.0048164417947915705
2026-04-17,0.0,0.01517589315719814,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,0.013084141333708166
2026-04-20,0.0,-0.002619288161749278,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,-0.003174847807659753
2026-04-21,0.0,-0.005918197504629297,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,-0.003803398320938567
2026-04-22,0.0,0.016389557113861697,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,0.016730557323110684
2026-04-23,0.0,-0.008884492673041144,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,-0.005632641846407549
2026-04-24,0.0,0.016289870491233094,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,0.01912744465935967
2026-04-27,0.0,0.002033289580699371,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,0.000527203711514268
2026-04-28,0.0,-0.008972519899867804,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,-0.01005675744847423
2026-04-29,0.0,0.0003827471841322261,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,0.006113603528248968
2026-04-30,0.0,0.00887885012264289,0.0,0.0,0.0,0,0,0,0,1.1886738352639294,1.1886738352639294,0.009326299560137086
2026-05-01,-0.0029910269192422456,0.00892363946937813,0.9999999999999992,0.997008973080757,0.0035553554394733657,5,0,0,0,1.185118479824456,9.06826697066876e-16,0.009599544732979748
2026-05-04,0.0016412228941864448,-0.0018570989438745356,0.9999999999999992,0.0,0.0,5,0,0,0,1.1870635234058673,9.06826697066876e-16,-0.001883853741748931
2026-05-05,0.037138284459870885,0.010305252156152633,0.9999999999999993,0.0,0.0,5,0,0,0,1.231149026210051,9.06826697066876e-16,0.012974081559862016
2026-05-06,0.041153238854782836,0.02024825743214609,0.9999999999999993,0.0,0.0,5,0,0,0,1.2818147961515067,9.06826697066876e-16,0.020774343099426273
2026-05-07,-0.04363161000977889,-0.0012670798415104212,0.9999999999999992,0.0,0.0,5,0,0,0,1.22588715286106,9.06826697066876e-16,-0.0011929229486754567
2026-05-08,0.05072440732042538,0.017084266571599116,0.9999999999999993,0.0,0.0,5,0,0,0,1.288069552131661,9.06826697066876e-16,0.023440872593317286
2026-05-11,0.05983189767143582,0.0010305908314371948,0.9999999999999993,0.0,0.0,5,0,0,0,1.3651371977684947,9.06826697066876e-16,0.0028963907596697425
2026-05-12,-0.03975077001972793,-0.007076542591514912,0.9999999999999993,0.0,0.0,5,0,0,0,1.3108719429746234,9.06826697066876e-16,-0.008481823662184973
2026-05-13,0.0249470784297805,0.012041459357103879,0.9999999999999993,0.0,0.0,5,0,0,0,1.34357436814741,9.06826697066876e-16,0.010562185396753687
2026-05-14,-0.0033720219526338635,0.008820430310343852,0.9999999999999993,0.0,0.0,5,0,0,0,1.3390438058830207,9.06826697066876e-16,0.007107777979879826
2026-05-15,-0.029658402810171958,-0.01539615591686505,0.9999999999999993,0.0,0.0,5,0,0,0,1.2993299053076763,9.06826697066876e-16,-0.015087733922393931
2026-05-18,-0.050413717081584486,-0.005125234793789457,0.9999999999999993,0.0,0.0,5,0,0,0,1.2338258550658532,9.06826697066876e-16,-0.004302258332980591
2026-05-19,0.0026224368957887823,-0.008432880183881442,0.9999999999999993,0.0,0.0,5,0,0,0,1.2370614855111561,9.06826697066876e-16,-0.006162520541735272
2026-05-20,0.031975566216278395,0.015447971856976439,0.9999999999999993,0.0,0.0,5,0,0,0,1.2766172269547258,9.06826697066876e-16,0.01656379627385851
2026-05-21,0.05097799359456934,0.0008656143273255701,0.9999999999999993,0.0,0.0,5,0,0,0,1.3416966117731408,9.06826697066876e-16,0.0019070321811680557
2026-05-22,0.0112070311088881,0.0019347281225874369,0.9999999999999993,0.0,0.0,5,0,0,0,1.3567330474399721,9.06826697066876e-16,0.004240668430112837
2026-05-26,0.047908045970885826,0.011851288928737658,0.9999999999999993,0.0,0.0,5,0,0,0,1.4217314766469462,9.06826697066876e-16,0.01775510772918576
