config_id,cost_bps,year,strategy,nasdaq,excess_vs_nasdaq
2,10.0,2023,0.08071449227211591,0.43423103966916465,-0.35351654739704874
2,10.0,2024,2.6075667460941077,0.28641246683135235,2.321154279262755
2,10.0,2025,-0.1289006296491172,0.20357524453555675,-0.33247587418467395
2,10.0,2026,0.23203257506267105,0.09802301782248235,0.1340095572401887
2,30.0,2022,-0.21553453861299665,-0.3310002555645566,0.11546571695155994
2,30.0,2023,0.04451333994454654,0.43423103966916465,-0.3897176997246181
2,30.0,2024,2.5113112816194567,0.28641246683135235,2.224898814788104
2,30.0,2025,-0.15749558685956344,0.20357524453555675,-0.3610708313951202
2,30.0,2026,0.20601890475453355,0.09802301782248235,0.1079958869320512
2,50.0,2022,-0.2202335538831075,-0.3310002555645566,0.11076670168144909
2,50.0,2023,0.009521183798467003,0.43423103966916465,-0.42470985587069765
2,50.0,2024,2.4175606006296384,0.28641246683135235,2.131148133798286
2,50.0,2025,-0.18515802771264955,0.20357524453555675,-0.3887332722482063
2,50.0,2026,0.18054581763644073,0.09802301782248235,0.08252279981395838
3,10.0,2022,-0.18511262178252663,-0.3310002555645566,0.14588763378202996
3,10.0,2023,0.4085210636786476,0.43423103966916465,-0.025709975990517053
3,10.0,2024,2.598869927465645,0.28641246683135235,2.3124574606342927
3,10.0,2025,0.22847423969527347,0.20357524453555675,0.02489899515971672
3,10.0,2026,0.17451714979299604,0.09802301782248235,0.07649413197051369
3,30.0,2022,-0.18999056849187168,-0.3310002555645566,0.1410096870726849
3,30.0,2023,0.36681843757592536,0.43423103966916465,-0.0674126020932393
3,30.0,2024,2.502965203767875,0.28641246683135235,2.2165527369365225
3,30.0,2025,0.18959325494318535,0.20357524453555675,-0.013981989592371402
3,30.0,2026,0.14819002235072753,0.09802301782248235,0.050167004528245185
3,50.0,2022,-0.19484259432977324,-0.3310002555645566,0.13615766123478334
3,50.0,2023,0.32633177639221933,0.43423103966916465,-0.10789926327694532
3,50.0,2024,2.409528836880384,0.28641246683135235,2.123116370049032
3,50.0,2025,0.1519298826778448,0.20357524453555675,-0.05164536185771196
3,50.0,2026,0.12244873637055975,0.09802301782248235,0.024425718548077402
4,10.0,2022,-0.18511262178252696,-0.3310002555645566,0.14588763378202962
4,10.0,2023,0.29600814886678517,0.43423103966916465,-0.13822289080237948
4,10.0,2024,2.5988699274656524,0.28641246683135235,2.3124574606343
4,10.0,2025,0.2284742396952737,0.20357524453555675,0.02489899515971694
4,10.0,2026,0.17451714979299804,0.09802301782248235,0.07649413197051569
4,30.0,2022,-0.18999056849187146,-0.3310002555645566,0.14100968707268513
4,30.0,2023,0.25596545961669936,0.43423103966916465,-0.1782655800524653
4,30.0,2024,2.5029652037678662,0.28641246683135235,2.2165527369365137
4,30.0,2025,0.18959325494318557,0.20357524453555675,-0.01398198959237118
4,30.0,2026,0.14819002235072753,0.09802301782248235,0.050167004528245185
4,50.0,2022,-0.1948425943297737,-0.3310002555645566,0.1361576612347829
4,50.0,2023,0.21714706868070133,0.43423103966916465,-0.21708397098846333
4,50.0,2024,2.409528836880382,0.28641246683135235,2.12311637004903
4,50.0,2025,0.1519298826778428,0.20357524453555675,-0.051645361857713956
4,50.0,2026,0.12244873637056086,0.09802301782248235,0.024425718548078512
5,10.0,2022,-0.18511262178252696,-0.3310002555645566,0.14588763378202962
5,10.0,2023,0.29600814886678517,0.43423103966916465,-0.13822289080237948
5,10.0,2024,2.5988699274656524,0.28641246683135235,2.3124574606343
5,10.0,2025,0.2284742396952737,0.20357524453555675,0.02489899515971694
5,10.0,2026,0.17451714979299804,0.09802301782248235,0.07649413197051569
5,30.0,2022,-0.18999056849187146,-0.3310002555645566,0.14100968707268513
5,30.0,2023,0.25596545961669936,0.43423103966916465,-0.1782655800524653
5,30.0,2024,2.5029652037678662,0.28641246683135235,2.2165527369365137
5,30.0,2025,0.18959325494318557,0.20357524453555675,-0.01398198959237118
5,30.0,2026,0.14819002235072753,0.09802301782248235,0.050167004528245185
5,50.0,2022,-0.1948425943297737,-0.3310002555645566,0.1361576612347829
5,50.0,2023,0.21714706868070133,0.43423103966916465,-0.21708397098846333
5,50.0,2024,2.409528836880382,0.28641246683135235,2.12311637004903
5,50.0,2025,0.1519298826778428,0.20357524453555675,-0.051645361857713956
5,50.0,2026,0.12244873637056086,0.09802301782248235,0.024425718548078512
6,10.0,2022,-0.19762669985900616,-0.3310002555645566,0.13337355570555043
6,10.0,2023,0.28472552843332477,0.43423103966916465,-0.14950551123583988
6,10.0,2024,1.195040424447333,0.28641246683135235,0.9086279576159806
6,10.0,2025,0.23278196915872806,0.20357524453555675,0.02920672462317131
6,10.0,2026,0.13988746157610277,0.09802301782248235,0.04186444375362042
6,30.0,2022,-0.2011556636834071,-0.3310002555645566,0.1298445918811495
6,30.0,2023,0.24954880799942214,0.43423103966916465,-0.1846822316697425
6,30.0,2024,1.1303845669554318,0.28641246683135235,0.8439721001240794
6,30.0,2025,0.1938696465653056,0.20357524453555675,-0.009705597970251167
6,30.0,2026,0.11633253019883982,0.09802301782248235,0.018309512376357473
6,50.0,2022,-0.20467538045377698,-0.3310002555645566,0.1263248751107796
6,50.0,2023,0.21530972437411622,0.43423103966916465,-0.21892131529504844
6,50.0,2024,1.0675817618478605,0.28641246683135235,0.7811692950165081
6,50.0,2025,0.15616872212817712,0.20357524453555675,-0.047406522407379637
6,50.0,2026,0.09325968943233076,0.09802301782248235,-0.004763328390151589
7,10.0,2022,-0.19762669985900638,-0.3310002555645566,0.1333735557055502
7,10.0,2023,0.24952883267487147,0.43423103966916465,-0.18470220699429318
7,10.0,2024,1.1950404244473338,0.28641246683135235,0.9086279576159815
7,10.0,2025,0.23278196915873073,0.20357524453555675,0.029206724623173974
7,10.0,2026,0.13988746157610366,0.09802301782248235,0.041864443753621305
7,30.0,2022,-0.20115566368340732,-0.3310002555645566,0.12984459188114927
7,30.0,2023,0.21531582339909927,0.43423103966916465,-0.21891521627006538
7,30.0,2024,1.1303845669554309,0.28641246683135235,0.8439721001240785
7,30.0,2025,0.19386964656530314,0.20357524453555675,-0.00970559797025361
7,30.0,2026,0.11633253019884249,0.09802301782248235,0.018309512376360138
7,50.0,2022,-0.2046753804537773,-0.3310002555645566,0.12632487511077928
7,50.0,2023,0.18201476317469445,0.43423103966916465,-0.2522162764944702
7,50.0,2024,1.0675817618478645,0.28641246683135235,0.7811692950165121
7,50.0,2025,0.15616872212817667,0.20357524453555675,-0.04740652240738008
7,50.0,2026,0.0932596894323301,0.09802301782248235,-0.004763328390152255
8,10.0,2022,-0.19762669985900638,-0.3310002555645566,0.1333735557055502
8,10.0,2023,0.24952883267487147,0.43423103966916465,-0.18470220699429318
8,10.0,2024,1.1950404244473338,0.28641246683135235,0.9086279576159815
8,10.0,2025,0.23278196915873073,0.20357524453555675,0.029206724623173974
8,10.0,2026,0.2097608691687487,0.09802301782248235,0.11173785134626635
8,30.0,2022,-0.20115566368340732,-0.3310002555645566,0.12984459188114927
8,30.0,2023,0.21531582339909927,0.43423103966916465,-0.21891521627006538
8,30.0,2024,1.1303845669554309,0.28641246683135235,0.8439721001240785
8,30.0,2025,0.19386964656530314,0.20357524453555675,-0.00970559797025361
8,30.0,2026,0.1847620554992242,0.09802301782248235,0.08673903767674185
8,50.0,2022,-0.2046753804537773,-0.3310002555645566,0.12632487511077928
8,50.0,2023,0.18201476317469445,0.43423103966916465,-0.2522162764944702
8,50.0,2024,1.0675817618478645,0.28641246683135235,0.7811692950165121
8,50.0,2025,0.15616872212817667,0.20357524453555675,-0.04740652240738008
8,50.0,2026,0.16027488387853372,0.09802301782248235,0.062251866056051375
9,10.0,2022,-0.159029472648746,-0.3310002555645566,0.17197078291581058
9,10.0,2023,0.2863275416716986,0.43423103966916465,-0.14790349799746605
9,10.0,2024,1.233141403070971,0.28641246683135235,0.9467289362396187
9,10.0,2025,0.4166264672044584,0.20357524453555675,0.21305122266890164
9,10.0,2026,0.13170030457871973,0.09802301782248235,0.03367728675623738
9,30.0,2022,-0.16406355407668793,-0.3310002555645566,0.16693670148786866
9,30.0,2023,0.25303939035878686,0.43423103966916465,-0.1811916493103778
9,30.0,2024,1.1658924465039093,0.28641246683135235,0.879479979672557
9,30.0,2025,0.37302634906006316,0.20357524453555675,0.1694511045245064
9,30.0,2026,0.10831455474590745,0.09802301782248235,0.010291536923425104
9,50.0,2022,-0.1690708849504925,-0.3310002555645566,0.1619293706140641
9,50.0,2023,0.22058852385900973,0.43423103966916465,-0.21364251581015492
9,50.0,2024,1.1006116194933675,0.28641246683135235,0.8141991526620151
9,50.0,2025,0.3307453984705113,0.20357524453555675,0.12717015393495457
9,50.0,2026,0.08540743294385522,0.09802301782248235,-0.012615584878627129
10,10.0,2022,-0.15902947264874612,-0.3310002555645566,0.17197078291581047
10,10.0,2023,0.254657969512762,0.43423103966916465,-0.17957307015640267
10,10.0,2024,1.2331414030709724,0.28641246683135235,0.9467289362396201
10,10.0,2025,0.3569422800966664,0.20357524453555675,0.15336703556110964
10,10.0,2026,0.1317003045787215,0.09802301782248235,0.033677286756239155
10,30.0,2022,-0.1640635540766885,-0.3310002555645566,0.1669367014878681
10,30.0,2023,0.22218937735246858,0.43423103966916465,-0.21204166231669608
10,30.0,2024,1.1658924465039084,0.28641246683135235,0.8794799796725561
10,30.0,2025,0.3141307204226238,0.20357524453555675,0.11055547588706705
10,30.0,2026,0.10831455474590568,0.09802301782248235,0.010291536923423328
10,50.0,2022,-0.16907088495049227,-0.3310002555645566,0.16192937061406432
10,50.0,2023,0.1905374559307822,0.43423103966916465,-0.24369358373838246
10,50.0,2024,1.1006116194933626,0.28641246683135235,0.8141991526620103
10,50.0,2025,0.2726513611011181,0.20357524453555675,0.06907611656556134
10,50.0,2026,0.08540743294385633,0.09802301782248235,-0.012615584878626018
11,10.0,2022,-0.15902947264874612,-0.3310002555645566,0.17197078291581047
11,10.0,2023,0.254657969512762,0.43423103966916465,-0.17957307015640267
11,10.0,2024,1.2331414030709724,0.28641246683135235,0.9467289362396201
11,10.0,2025,0.3569422800966664,0.20357524453555675,0.15336703556110964
11,10.0,2026,0.1317003045787215,0.09802301782248235,0.033677286756239155
